"","V1"
"1","BBDACCABBDBABCABCCBBCBDBBCCDCBBCCADADBDDADCDDACCCDDADDADDCDACBCAAACDCBABAAABAACADADACDBAABADCDCDCBBBDABDCACDBBCCADCBDBDDACCCDCBDBBABDCCAAABCADADACBBDABDBBCBBABCCBACDDACAACCDBDCBBCBDAABBBDDABAABBDBDABB"
"2","BADDDCCBAABAAACBADCCBABCDDBCDCDACCCDDBBCADCDBCCDDDDBBDCDADCCDADBBDCDDACBDDDBAACCDBAAABBBCCCAADDDCCADCDCDDBBCDBADADCCADAACCAAACDABACDBCBBABACADBDDBBDBDBBCACAABCCCADAAADACDCACCABACCADDDDCBBADBAAABBDDDAC"
"3","CACACBCBDCCBDBCABBDAABCACDBBCBACCBCDCCBADDCCBDABBCCAAACCBBCACCBCCBBCDCBADCDDCBCDDDADBCCDBBDCAADAABABCCBACBBADDBBCCCAACBCABAABCCDCABDBDCCACCACCBCAADCBCBBBABCBBACABDCADBCCCDDDBCABCDDCBDDBCCCBBBCBCCCBBBB"
"4","BDDDACBBADACACCABCADBDADBBBDBCCDBCBBCDACADADBBCACCCABDDCCCDBABDADCBACADDDCABCBCCCCCCBCDCCABDBCDCCCBDACDBDCADDACBBBAAABDCABBDCABBBCDCBDDDBACBDDBADCADCCDAACDBACDBDCADBBDDCBDBCCBAACCCBBCBCBABADDCDCDACABC"
"5","BBCABBCCABBDDBADBBADDACCBADDABDAAADACCBBDCADADBBDDCCABDBCBBCAADBCCBDBBAABBCDABAACCCCCCADBBCBDDDABBCBCCACCCBBDCCCBBCCCADCADDBAADBDADAADAABDCADDDCBCCDCBBABDBBDBBBCBABABACDCCCAADAACAABAACDADAABBDABDBACBD"
"6","DDDADCCCDDABABCABCABABCCCCDBABACBCDDCCACDCDDACABACBDDBBCBADACBDDACCBCDCCDCDDBDBBDBBDCCACCCAACCCADDCAAAAAABBDBBCCACBDBCBCBADDDBDDCCAACADCCACDDDDCDBCDACDBDCAAAAABDCDBCCABCCBCCACCDABBACCDBDDADBCAACCCDDAA"
"7","CDACADDBCAADBBCDDABCCBCDCAAACDCCCADCCCCAACBBBCDDAAAACACBBBCADCCAAABDDCABDCCACDCDADBAADCAAABABBCCACBABBBCCCDCBBCDDBBACBDADBDBBBDDDCCBABDCCACCDBACBDACABDBCCADDADBABCDDCBADBADDDBBACAADAACCAABBDDCCDDCCDCA"
"8","DBDCDBCADABADDBCAABBBADCDDABBDACDCCAABCDAACABCDCCBADCCADBADBBDADACBABACCBAADACDDACABDDCCDDBBCDBDBCCAAADABCDAAAADAAACCBDCDBCABDADBCDDBBBACACCDDAADABCCBDDCCBAADBDADBBDBDAADBBBADADCDDBCCADDDABAACDCCBCADC"
"9","DBDABADABAAADBBBDAAABDBDCBADACABBACDBAABDDCBCDADDAAAAAABBBBABCACBBCDCDCBADDAAADAABAABDCBBCBABDDDABBCBBAAACADDCCCACCDBDACCAADBBDACADCCCACACAACBDCDAADADBAADAACBCBAAADCABCBBAAADBABBAAABBDBDBCCCBDBDBDABDC"
"10","ADBCDABDCAAADADABDADDCDDDDBDDDCCBDBABABBBBABBDBDBDBCBDCBBDCADCDBDDCDDDABCCCDABBBCCBBDBDCBCCABBACBDCBCDBBBDCDCABDBADADBBCDDDCBCDCBDDACDDBABADDCBABCACDCABCDBACBBBADCABDBDCDBBAAABCACACDACAACCDDBACBDCCABC"
